date,hour,demand
2021-03-01,0,61.36785
2021-03-01,1,52.335735
2021-03-01,2,52.242825
2021-03-01,3,51.666206
2021-03-01,5,50.055424
2021-03-01,6,51.07398
2021-03-01,7,61.49951
2021-03-01,8,68.236496
2021-03-01,9,72.217735
2021-03-01,10,71.286995
2021-03-01,11,73.03872
2021-03-01,12,76.77818
2021-03-01,13,75.67453
2021-03-01,14,73.70343
2021-03-01,15,73.774475
2021-03-01,16,76.37718
2021-03-01,17,80.926994
2021-03-01,18,82.780624
2021-03-01,19,79.400406
2021-03-01,20,72.23598
2021-03-01,21,65.24814
2021-03-01,22,58.776695
2021-03-01,23,56.539017
2021-03-02,0,55.657845
2021-03-02,1,51.97827
2021-03-02,2,52.106438
2021-03-02,4,49.919037
2021-03-02,6,50.290653
2021-03-02,7,60.716187
2021-03-02,8,67.04513
2021-03-02,9,70.30569
2021-03-02,10,68.67637
2021-03-02,11,70.272285
2021-03-02,12,73.40395
2021-03-02,13,72.40618
2021-03-02,14,70.67918
2021-03-02,15,70.695496
2021-03-02,16,74.635895
2021-03-02,17,79.416504
2021-03-02,18,81.23551
2021-03-02,19,77.94959
2021-03-02,20,71.78126
2021-03-02,21,65.54134
2021-03-02,22,60.63304
2021-03-02,23,58.805878
2021-03-03,0,55.40536
2021-03-03,2,51.853954
2021-03-03,3,51.277336
2021-03-03,4,49.666553
2021-03-03,5,49.666553
2021-03-03,6,50.03817
2021-03-03,7,60.463703
2021-03-03,8,66.79265
2021-03-03,9,70.05321
2021-03-03,10,68.70894
2021-03-03,11,70.304855
2021-03-03,12,73.43652
2021-03-03,13,72.43875
2021-03-03,14,70.71175
2021-03-03,15,71.00421
2021-03-03,16,74.94461
2021-03-03,17,79.94607
2021-03-03,18,81.765076
2021-03-03,19,79.061806
2021-03-03,20,72.89347
2021-03-03,21,66.65357
2021-03-03,22,63.702263
2021-03-03,23,61.875107
2021-03-04,0,55.981133
2021-03-04,1,52.30156
2021-03-04,2,52.429726
2021-03-04,4,49.99833
2021-03-04,6,50.178055
2021-03-04,7,60.60359
2021-03-04,8,66.93256
2021-03-04,9,69.36417
2021-03-04,10,70.14574
2021-03-04,11,72.020966
2021-03-04,12,75.713295
2021-03-04,13,76.74043
2021-03-04,14,75.01343
2021-03-04,15,75.30589
2021-03-04,16,77.80481
2021-03-04,17,82.43114
2021-03-04,18,83.24238
2021-03-04,19,80.53911
2021-03-04,20,74.37077
2021-03-04,21,68.77819
2021-03-04,22,65.82684
2021-03-04,23,63.45929
2021-03-05,0,58.50731
2021-03-05,1,55.262558
2021-03-05,2,56.149216
2021-03-05,3,53.718906
2021-03-05,4,51.73622
2021-03-05,5,51.73622
2021-03-05,6,51.915947
2021-03-05,7,61.315968
2021-03-05,8,67.644936
2021-03-05,9,70.07654
2021-03-05,10,76.100525
2021-03-05,11,83.06996
2021-03-05,12,91.64416
2021-03-05,13,94.179306
2021-03-05,14,92.4523
2021-03-05,15,92.64194
2021-03-05,16,94.350685
2021-03-05,17,94.81227
2021-03-05,18,91.38952
2021-03-05,19,87.12196
2021-03-05,20,79.15149
2021-03-05,21,75.51076
2021-03-05,22,72.137985
2021-03-05,23,69.131516
2021-03-06,0,60.147133
2021-03-06,1,57.66308
2021-03-06,2,58.549736
2021-03-06,4,53.273647
2021-03-06,7,60.942524
2021-03-06,8,67.45903
2021-03-06,9,75.26511
2021-03-06,10,87.039734
2021-03-06,11,101.25138
2021-03-06,12,112.934654
2021-03-06,13,119.34077
2021-03-06,14,117.61376
2021-03-06,15,118.51469
2021-03-06,16,114.25351
2021-03-06,17,109.08752
2021-03-06,18,104.22415
2021-03-06,19,96.44285
2021-03-06,20,85.178566
2021-03-06,21,80.12964
2021-03-06,22,74.96861
2021-03-06,23,71.06943
2021-03-07,0,60.926113
2021-03-07,1,58.283062
2021-03-07,2,59.041553
2021-03-07,3,54.535774
2021-03-07,4,50.998398
2021-03-07,5,50.998398
2021-03-07,7,56.343277
2021-03-07,8,61.682625
2021-03-07,9,69.48875
2021-03-07,10,78.543816
2021-03-07,11,91.99374
2021-03-07,12,103.0023
2021-03-07,13,109.40841
2021-03-07,14,105.99672
2021-03-07,15,108.83515
2021-03-07,16,102.36216
2021-03-07,17,97.07902
2021-03-07,18,92.21565
2021-03-07,19,85.558525
2021-03-07,20,74.75896
2021-03-07,21,69.81
2021-03-07,22,65.250725
2021-03-07,23,61.469566
2021-03-08,0,61.36785
2021-03-08,1,52.335735
2021-03-08,2,52.242825
2021-03-08,3,51.666206
2021-03-08,4,50.055424
2021-03-08,6,51.07398
2021-03-08,7,61.49951
2021-03-08,8,68.236496
2021-03-08,9,72.217735
2021-03-08,10,71.286995
2021-03-08,11,73.03872
2021-03-08,12,76.77818
2021-03-08,13,75.67453
2021-03-08,14,73.70343
2021-03-08,15,73.774475
2021-03-08,16,76.37718
2021-03-08,17,80.926994
2021-03-08,18,82.780624
2021-03-08,19,79.400406
2021-03-08,20,72.23598
2021-03-08,21,65.24814
2021-03-08,22,58.776695
2021-03-08,23,56.539017
2021-03-09,0,55.657845
2021-03-09,1,51.97827
2021-03-09,2,52.106438
2021-03-09,3,51.52982
2021-03-09,4,49.919037
2021-03-09,5,49.919037
2021-03-09,6,50.290653
2021-03-09,7,60.716187
2021-03-09,8,67.04513
2021-03-09,9,70.30569
2021-03-09,10,68.67637
2021-03-09,11,70.272285
2021-03-09,12,73.40395
2021-03-09,13,72.40618
2021-03-09,14,70.67918
2021-03-09,15,70.695496
2021-03-09,16,74.635895
2021-03-09,17,79.416504
2021-03-09,18,81.23551
2021-03-09,19,77.94959
2021-03-09,20,71.78126
2021-03-09,21,65.54134
2021-03-09,22,60.63304
2021-03-09,23,58.805878
2021-03-10,0,55.40536
2021-03-10,1,51.72579
2021-03-10,2,51.853954
2021-03-10,4,49.666553
2021-03-10,6,50.03817
2021-03-10,7,60.463703
2021-03-10,8,66.79265
2021-03-10,9,70.05321
2021-03-10,10,68.70894
2021-03-10,11,70.304855
2021-03-10,12,73.43652
2021-03-10,13,72.43875
2021-03-10,14,70.71175
2021-03-10,15,71.00421
2021-03-10,16,74.94461
2021-03-10,17,79.94607
2021-03-10,18,81.765076
2021-03-10,19,79.061806
2021-03-10,20,72.89347
2021-03-10,21,66.65357
2021-03-10,22,63.702263
2021-03-10,23,61.875107
2021-03-11,0,55.981133
2021-03-11,2,52.429726
2021-03-11,3,51.60911
2021-03-11,4,49.99833
2021-03-11,5,49.99833
2021-03-11,6,50.178055
2021-03-11,7,60.60359
2021-03-11,8,66.93256
2021-03-11,9,69.36417
2021-03-11,10,70.14574
2021-03-11,11,72.020966
2021-03-11,12,75.713295
2021-03-11,13,76.74043
2021-03-11,14,75.01343
2021-03-11,15,75.30589
2021-03-11,16,77.80481
2021-03-11,17,82.43114
2021-03-11,18,83.24238
2021-03-11,19,80.53911
2021-03-11,20,74.37077
2021-03-11,21,68.77819
2021-03-11,22,65.82684
2021-03-11,23,63.45929
2021-03-12,0,58.50731
2021-03-12,1,55.262558
2021-03-12,2,56.149216
2021-03-12,4,51.73622
2021-03-12,5,51.73622
2021-03-12,6,51.915947
2021-03-12,7,61.315968
2021-03-12,8,67.644936
2021-03-12,9,70.07654
2021-03-12,10,76.100525
2021-03-12,11,83.06996
